x1,x2,x3,x4,x5,x6,x7,x8,x9,label
59,65,11,62,0,-9,-9,-30,-33,NROI
54,0,105,-11,-20,122,-41,-44,125,NROI
-116,-11,0,-136,6,8,-160,9,16,NROI
0,2,-97,3,10,-97,3,-9,-95,NROI
61,-38,1,69,-38,0,50,-36,-4,NROI
-38,1,34,-38,0,29,-36,-4,41,NROI
-33,0,21,-34,-5,33,-38,7,36,NROI
-33,-12,8,-38,0,11,-26,3,26,NROI
-20,0,22,-8,3,16,-5,18,-32,NROI
-7,15,11,-4,9,0,11,-39,-16,NROI
31,27,-29,25,16,-20,-23,0,-70,NROI
27,-29,32,16,-20,-53,0,-70,19,NROI
-9,52,-80,0,-33,37,-50,39,34,NROI
53,-79,-9,-32,38,-2,40,35,0,NROI
-70,0,-40,47,7,-29,44,9,-19,NROI
29,-11,-43,36,0,-18,38,10,-9,NROI
0,-32,-14,11,-7,8,21,2,-5,NROI
-27,-9,19,-2,13,35,7,0,-39,NROI
-1,27,-36,21,43,-78,8,-31,0,NROI
0,-63,10,16,-105,8,-58,-27,86,NROI
-73,0,56,-115,-2,52,-37,76,45,NROI
-4,52,-8,-6,48,-27,72,41,0,NROI
52,-8,50,48,-27,-20,41,0,-42,NROI
19,77,-21,0,7,-17,27,-15,-16,NROI
93,-5,0,23,-1,0,1,0,1,NROI
-5,0,3,-1,0,2,0,1,2,NROI
-1,2,6,-1,1,-65,0,1,-75,NROI
58,62,0,57,-9,-30,57,-19,-37,NROI
81,19,10,10,-11,-14,0,-18,-22,NROI
9,0,142,-21,-24,145,-28,-32,145,NROI
-142,0,2,-166,3,10,-174,3,-9,NROI
12,19,-88,12,0,-86,22,-3,-94,NROI
69,-38,0,50,-36,-4,47,-44,0,NROI
-38,0,29,-36,-4,41,-44,0,27,NROI
-29,0,38,-33,12,41,-29,-2,67,NROI
-38,0,11,-26,3,26,-40,29,-27,NROI
-3,8,21,0,23,-27,26,-30,-5,NROI
12,25,16,27,-23,0,-26,-1,-59,NROI
45,36,0,-3,20,-50,19,-39,-51,NROI
36,0,-33,20,-50,39,-39,-51,40,NROI
-31,-64,6,-81,8,3,-82,9,0,NROI
-64,6,-34,8,3,-32,9,0,-17,NROI
38,-2,-38,35,0,-28,32,15,-18,NROI
26,-10,-28,28,0,-19,43,10,-8,NROI
0,-18,-3,10,-9,-16,20,2,29,NROI
-9,6,28,0,-7,-46,11,38,-20,NROI
13,35,-86,0,-39,-8,45,-13,36,NROI
8,-113,0,-66,-35,78,-40,9,80,NROI
-158,-45,9,-80,33,2,-36,35,0,NROI
-45,9,-66,33,2,-39,35,0,-4,NROI
48,-27,-20,41,0,-42,39,35,-45,NROI
15,22,-2,42,0,-1,77,-3,-1,NROI
23,-1,0,1,0,1,-2,0,2,NROI
-2,-1,1,-1,0,1,-1,1,5,NROI
-1,1,-65,0,1,-75,1,5,-98,NROI
76,10,-11,76,0,-18,80,-23,-23,NROI
28,7,4,18,0,-4,-5,-5,-3,NROI
3,0,169,-4,-8,169,-9,-7,179,NROI
-157,12,19,-165,12,0,-164,22,-3,NROI
15,3,-83,25,0,-91,33,-14,-86,NROI
54,-32,0,51,-40,4,37,-35,-1,NROI
-32,0,45,-40,4,31,-35,-1,55,NROI
-45,0,29,-41,-14,55,-46,10,57,NROI
-11,18,41,-25,44,-12,-1,46,0,NROI
3,26,-24,29,-27,-2,31,-15,0,NROI
41,-9,14,-12,13,-45,0,15,-22,NROI
0,23,-47,22,-36,-48,24,-13,51,NROI
0,-70,19,-59,-71,20,-36,28,25,NROI
-89,0,-5,-90,1,-8,9,6,3,NROI
2,-3,-38,3,-6,-23,8,5,0,NROI
20,-15,-43,17,0,-33,28,23,-13,NROI
18,-10,-29,33,0,-18,56,20,-15,NROI
5,-14,-21,15,-3,24,35,0,-24,NROI
7,0,-39,18,45,-13,21,-3,-1,NROI
1,-38,-7,46,-12,37,-2,0,85,NROI
-75,-44,69,-49,0,71,-37,48,52,NROI
-82,31,0,-38,33,-2,10,14,-2,NROI
33,2,-39,35,0,-4,16,0,-1,NROI
6,-35,-77,4,0,-80,4,3,-78,NROI
42,0,-1,77,-3,-1,80,-1,1,NROI
0,-1,0,-3,-1,1,-1,1,5,NROI
-2,-1,0,-2,0,4,0,4,11,NROI
-1,0,-76,0,4,-99,4,11,-101,NROI
94,18,0,98,-5,-5,105,-7,-6,NROI
22,4,0,-1,-1,1,-3,-2,16,NROI
0,-4,173,-5,-3,183,-6,12,191,NROI
-162,15,3,-161,25,0,-146,33,-14,NROI
25,0,-91,33,-14,-86,32,7,-82,NROI
52,-39,5,38,-34,0,59,-30,0,NROI
-39,5,32,-34,0,56,-30,0,77,NROI
-51,-24,45,-56,0,47,-56,21,31,NROI
-25,44,-12,-1,46,0,20,30,-4,NROI
